SBU_id,master_category_id,service_category_id,loc_id,media_id,sp_id,lft_platform,placed_orders,taken_orders,complains,avg_csat,csat_number,lft_reschedules_customer,lft_customer_gmv,create_hr_day,schedule_hr_day,gap_hr_create_schedule,sp_change,reschedule_counter,discount,if_promo_used,if_completed
2,226,25,11.0,8.0,3429,499,53,34,3,4.875,8,65,29203.00,3,13,9,0,1,0.00,0,1
6,185,247,47.0,12.0,2330,416,46,38,1,5.0,1,114,12988.00,12,10,21,0,0,0.00,0,1
7,184,72,6.0,8.0,3504,78,4,3,0,5.0,2,6,2200.00,11,18,30,0,1,0.00,0,0
6,185,488,4.0,6.0,99658,66,7,5,0,4.4,5,3,700.00,17,18,0,0,0,0.00,0,1
7,184,72,12.0,11.0,2345,570,29,29,0,4.75,8,20,12156.00,15,17,169,0,0,0.00,0,1
1,1,587,47.0,12.0,17977,562,12,8,0,4.0,1,40,29949.00,11,11,743,0,8,43.50,1,1
3,224,301,47.0,12.0,89811,86,2,1,0,5.0,1,1,1398.00,18,16,237,0,0,0.00,1,0
3,221,222,5.0,12.0,613,305,8,3,0,5.0,3,8,1370.00,10,11,168,1,1,0.00,1,0
5,186,207,6.0,2.0,76347,492,12,7,1,4.0,1,13,12900.00,15,9,17,0,0,0.00,0,1
1,73,92,5.0,12.0,13477,288,24,11,1,5.0,1,51,14284.00,14,10,91,0,0,0.00,0,1
7,184,584,1.0,12.0,75441,503,17,11,1,4.4,5,22,5287.00,11,22,106,0,3,0.00,0,0
6,185,247,5.0,12.0,73390,789,5,2,0,5.0,1,17,880.00,13,12,22,0,0,0.00,0,1
7,184,72,12.0,11.0,2345,518,91,88,0,5.0,2,31,8716.00,18,17,166,0,0,0.00,0,1
1,225,22,1.0,8.0,1133,579,5,4,0,5.0,4,3,800.00,15,16,24,0,2,0.00,0,1
1,1,14,8.0,9.0,9,25,2,2,0,5.0,1,0,3598.00,9,11,1,0,0,0.00,0,1
1,1,11,12.0,11.0,277,0,1,1,0,5.0,1,2,200.00,16,10,41,0,2,0.00,0,1
7,184,72,12.0,11.0,2528,1075,39,36,3,3.3333333333333335,3,12,6137.00,13,17,171,0,0,0.00,0,1
7,184,584,6.0,8.0,17771,0,1,1,0,5.0,1,2,500.00,12,16,27,0,2,200.00,1,1
1,225,21,12.0,11.0,649,121,11,11,0,4.888888888888889,9,8,4947.00,11,12,0,0,0,0.00,0,1
1,225,22,47.0,12.0,17674,266,15,9,0,5.0,4,5,12990.00,11,14,2,1,0,0.00,1,0
6,185,247,20.0,8.0,1809,10,5,2,0,5.0,1,9,680.00,16,11,18,1,0,0.00,0,0
6,185,247,6.0,9.0,2330,419,49,43,2,3.9696969696969697,33,68,20436.50,22,10,11,0,0,0.00,0,1
5,186,563,49.0,9.0,3015,109,11,10,4,3.0,8,34,26250.00,14,16,73,0,2,0.00,0,1
3,221,222,6.0,8.0,613,768,15,5,0,5.0,4,9,3550.00,22,9,10,0,0,0.00,0,0
6,185,247,44.0,12.0,12664,188,11,8,0,5.0,5,11,2820.00,18,14,67,1,0,0.00,0,0
6,185,247,6.0,2.0,2330,118,13,7,2,4.333333333333333,6,28,4690.00,16,12,19,0,0,0.00,0,1
3,3,152,51.0,12.0,837,85,4,2,0,5.0,1,12,3575.00,17,17,263,0,7,75.00,1,1
1,1,14,1.0,12.0,27648,309,7,3,1,5.0,2,22,6199.00,13,9,547,0,8,0.00,0,0
1,225,22,5.0,2.0,649,499,17,12,0,5.0,9,22,8529.00,21,16,42,0,5,0.00,0,1
1,1,10,20.0,12.0,594,204,6,3,0,5.0,1,7,939.00,18,20,169,0,2,0.00,1,0
5,186,207,2.0,2.0,3015,140,13,13,0,5.0,2,10,5000.00,8,11,2,0,0,120.00,0,1
3,235,518,1.0,11.0,233,615,38,33,2,4.6,10,28,31900.00,21,21,23,0,1,0.00,0,1
4,183,200,49.0,9.0,1738,212,4,3,1,5.0,2,2,3350.00,12,18,77,0,0,0.00,0,1
2,226,279,1.0,11.0,18220,1155,314,213,14,4.671052631578948,76,403,974695.16,14,20,5,0,0,0.00,0,0
7,184,72,49.0,8.0,20743,395,7,7,0,2.0,3,35,1569.00,2,17,278,0,9,0.00,0,1
6,185,227,4.0,5.0,86462,694,129,119,3,5.0,17,53,20655.00,11,12,0,0,0,0.00,0,0
1,1,18,50.0,8.0,17977,181,7,5,0,5.0,4,13,4200.00,22,18,259,0,6,0.00,0,1
1,1,14,47.0,2.0,13413,47,7,2,0,5.0,1,4,8500.00,17,11,161,0,0,0.00,0,0
2,226,26,47.0,12.0,2552,240,7,1,1,5.0,1,6,1210.00,15,16,240,1,1,0.00,1,0
1,1,13,44.0,8.0,2646,355,16,9,1,4.0,6,29,14140.00,17,18,0,0,0,0.00,0,0
4,183,167,44.0,12.0,77358,57,6,4,0,5.0,2,10,2600.00,15,11,19,0,0,75.00,1,1
3,235,144,1.0,9.0,233,551,64,34,3,4.0606060606060606,33,51,29140.00,22,11,12,0,0,0.00,1,0
2,226,25,6.0,9.0,3429,10,3,2,1,4.0,2,5,1840.00,14,17,2,0,0,0.00,1,0
4,183,647,4.0,2.0,67189,896,29,23,1,4.461538461538462,13,32,8484.00,15,17,49,0,1,500.00,1,1
6,185,247,8.0,8.0,12664,367,23,13,1,4.5,4,25,4008.00,3,12,32,1,1,0.00,0,0
6,185,630,6.0,8.0,,658,87,61,6,4.882352941176471,51,109,30759.00,22,9,34,0,0,0.00,1,0
1,73,74,20.0,8.0,2130,82,4,3,0,5.0,1,2,2959.00,1,12,10,0,1,0.00,0,1
1,1,14,20.0,8.0,63688,280,40,39,0,5.0,38,1,9028.00,13,14,0,0,0,0.00,0,1
1,1,18,47.0,9.0,17572,233,5,5,0,4.5,4,3,2600.00,20,10,13,0,0,50.00,0,1
5,186,69,51.0,2.0,448,36,9,4,0,5.0,1,16,9750.00,22,16,617,0,4,0.00,0,0
5,186,69,1.0,12.0,68538,363,7,2,0,5.0,2,9,1600.00,18,9,38,0,0,0.00,1,0
7,184,72,12.0,11.0,2528,931,65,64,2,4.0,1,17,8688.10,16,17,168,0,0,0.00,0,1
3,221,223,18.0,12.0,233,814,3,1,1,1.0,1,1,1500.00,17,18,624,0,1,0.00,0,0
5,186,69,51.0,8.0,1770,427,9,7,0,4.666666666666667,6,9,7560.00,11,12,0,0,0,0.00,0,0
3,3,152,20.0,8.0,75374,54,8,3,1,5.0,2,5,1040.00,20,13,16,0,0,0.00,0,0
1,1,14,5.0,9.0,595,210,6,4,1,4.5,2,33,9080.00,17,12,402,0,10,0.00,0,0
1,1,12,2.0,11.0,28,316,7,6,0,5.0,6,8,20397.00,11,20,8,0,1,100.00,1,1
3,3,152,12.0,2.0,3439,719,11,5,1,5.0,2,24,38400.00,19,9,901,1,6,0.00,1,0
1,225,21,4.0,2.0,649,1075,51,44,3,4.828571428571428,35,45,39209.00,15,17,1,0,0,0.00,0,1
2,226,24,11.0,2.0,3076,320,23,14,0,5.0,2,37,23598.00,18,10,15,1,0,0.00,0,0
7,184,72,12.0,4.0,2345,918,60,58,1,5.0,1,9,17081.00,14,17,242,0,2,0.00,0,1
1,1,18,5.0,9.0,649,510,19,17,1,4.818181818181818,11,18,81115.00,8,13,4,0,1,0.00,0,1
6,185,488,4.0,2.0,99658,915,14,10,1,5.0,1,26,2986.00,16,12,19,0,1,50.00,1,1
1,225,22,2.0,2.0,1047,462,44,36,5,5.0,13,68,13028.00,19,11,39,0,0,0.00,0,0
5,186,64,1.0,8.0,56940,431,23,19,1,4.846153846153846,13,32,18805.00,9,17,7,0,1,0.00,0,1
2,226,24,20.0,12.0,3429,407,8,5,2,4.0,4,15,5443.00,17,16,142,0,1,0.00,1,0
4,183,167,11.0,2.0,13474,229,48,39,0,3.6,20,35,34350.00,15,14,22,1,0,0.00,0,0
1,1,618,47.0,2.0,28,49,8,2,0,5.0,2,12,2249.00,11,20,104,0,5,0.00,0,1
6,185,247,11.0,8.0,74184,650,38,21,3,4.5,14,59,11472.70,13,9,115,0,1,0.00,0,0
1,1,13,2.0,12.0,13087,93,12,5,0,5.0,1,18,3029.00,14,10,19,1,1,0.00,0,0
1,1,618,11.0,12.0,28,446,16,6,2,3.6666666666666665,3,22,2389.00,13,9,379,0,4,0.00,0,0
1,1,284,43.0,12.0,649,395,21,7,5,4.666666666666667,6,44,4450.00,15,20,76,0,3,0.00,0,0
8,636,565,47.0,12.0,74920,3,6,6,0,5.0,1,8,59440.00,14,14,215,0,1,500.00,1,1
1,1,14,2.0,12.0,17482,6,2,1,0,1.0,1,4,200.00,14,20,245,0,1,0.00,1,0
4,183,167,2.0,12.0,3129,69,6,4,1,5.0,2,7,9290.00,10,10,71,0,1,500.00,1,1
5,186,481,12.0,2.0,1053,22,6,2,0,3.0,2,26,4000.00,10,12,169,1,0,0.00,0,0
8,455,456,39.0,12.0,17256,189,5,3,1,5.0,1,8,10890.00,13,15,913,1,4,0.00,0,0
1,225,22,12.0,12.0,1073,395,7,5,0,5.0,2,21,3247.00,11,18,30,0,0,0.00,1,0
1,73,92,5.0,12.0,1809,168,6,4,0,5.0,4,7,2300.00,18,11,40,1,2,0.00,0,0
1,1,14,50.0,8.0,28,446,25,13,5,4.5,12,23,9919.00,10,12,1,1,0,0.00,0,0
8,455,457,8.0,12.0,17256,286,5,3,0,5.0,1,17,1284.00,12,18,245,0,1,0.00,0,0
1,1,12,50.0,8.0,277,15,2,1,0,5.0,1,4,275.00,12,16,195,0,3,75.00,1,1
5,186,207,4.0,2.0,20171,874,11,4,1,4.666666666666667,3,23,1400.00,18,13,162,1,1,0.00,1,0
3,224,434,39.0,8.0,42387,562,8,1,1,5.0,1,6,1690.00,14,15,144,0,4,0.00,0,0
3,3,152,39.0,8.0,63932,811,6,4,0,5.0,1,14,2210.00,10,14,219,0,3,0.00,1,0
1,1,13,18.0,12.0,3964,0,1,1,0,5.0,1,4,180.00,19,20,192,0,4,75.00,1,1
1,1,14,8.0,8.0,67408,413,3,2,2,5.0,1,1,3100.00,12,20,7,0,1,0.00,0,1
1,73,249,6.0,8.0,5791,309,7,5,2,3.0,1,34,2860.00,15,18,26,1,1,0.00,1,0
6,185,247,6.0,12.0,73660,752,7,4,1,5.0,1,18,1740.00,16,15,262,0,2,0.00,0,0
1,1,19,5.0,8.0,2793,10,5,2,0,5.0,1,4,499.00,15,10,18,0,0,0.00,0,0
3,3,152,47.0,2.0,75897,408,3,3,0,5.0,2,6,5290.00,22,19,44,0,4,0.00,0,1
1,1,14,5.0,8.0,595,423,4,3,0,5.0,2,3,5400.00,9,16,6,0,2,0.00,0,1
3,221,222,6.0,8.0,233,302,8,4,0,3.0,3,10,8800.00,14,16,241,0,1,0.00,0,0
8,455,457,45.0,11.0,74442,314,9,6,0,5.0,4,16,1830.00,17,17,215,0,0,0.00,0,0
5,186,64,2.0,8.0,73946,269,10,5,1,5.0,1,20,11396.00,9,12,2,0,0,0.00,0,0
6,185,247,29.0,9.0,12664,153,9,5,0,5.0,3,15,2620.00,21,13,135,1,4,0.00,0,0
5,186,207,1.0,12.0,65591,572,45,28,7,4.642857142857143,14,91,41668.00,15,12,20,1,0,0.00,0,0
1,1,587,4.0,12.0,595,218,16,10,0,4.5,2,32,17018.00,17,10,40,0,1,50.00,1,1
6,185,247,8.0,8.0,2336,356,31,25,1,4.647058823529412,17,41,9827.00,12,15,122,0,3,120.00,0,1
3,235,518,5.0,8.0,233,163,9,7,0,5.0,4,15,6500.00,16,20,27,0,1,0.00,0,1
4,183,647,4.0,2.0,67189,1075,51,44,3,4.828571428571428,35,45,39209.00,17,11,569,0,4,500.00,1,1
